Year,date,Dependent,D_type,Speaker1,Governor,G_type,Speaker2,RelationType,long_date
1960,07 10,this country's on the move,Premise,KENNEDY,If we're moving ahead,Claim,KENNEDY,Support,07-10-1960
1960,07 10,this country's on the move,Premise,KENNEDY,if we're providing a viable economy,Claim,KENNEDY,Support,07-10-1960
1960,07 10,this country's on the move,Premise,KENNEDY,if our people have sufficient resources so that they can consume what we produce,Claim,KENNEDY,Support,07-10-1960
1960,07 10,we set a better example to the world,Claim,KENNEDY,we're stronger,Claim,KENNEDY,Support,07-10-1960
1960,07 10,"I don't think that in the winter of sixty-one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable",Premise,KENNEDY,it would be deflationary,Claim,KENNEDY,Support,07-10-1960
1960,07 10,"I don't think that in the winter of sixty-one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable",Premise,KENNEDY,it would cause great unemployment,Claim,KENNEDY,Support,07-10-1960
1960,07 10,"I don't think that in the winter of sixty-one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable",Premise,KENNEDY,it would cause a real slowdown in our economy,Claim,KENNEDY,Support,07-10-1960
1960,07 10,"I don't think that in the winter of sixty-one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable",Claim,NIXON,"I think I should also add that as far as Senator Kennedy's proposals are concerned, if he intends to carry out his platform - the one adopted in Los Angeles - it is just impossible for him to make good on those promises without raising taxes or without having a rise in t- prices or both",Claim,KENNEDY,Attack,07-10-1960
1960,07 10,I believe that the policies that I recommend came under the general heading of strengthening the United States,Claim,KENNEDY,"we have the problem of not only building our own uh - military strength and extending uh - our policies abroad, we have to do a job here at home",Claim,KENNEDY,Support,07-10-1960
1960,07 10,We're not able to consume what we're able to produce at a time when the Soviet Union is making great economic gains,Premise,KENNEDY,We're using our steel capacity fifty-five per cent today,Premise,KENNEDY,Support,07-10-1960
1960,07 10,I will do my best to carry the United States through a difficult period,Claim,KENNEDY,I'm confident we can do a far better job of mobilizing our economy and resources in the United States,Claim,KENNEDY,Support,07-10-1960
1960,07 10,I will do my best to carry the United States through a difficult period,Premise,KENNEDY,"I would not want people to elect me because I promised them the easy, soft life",Claim,KENNEDY,Attack,07-10-1960
1960,07 10,I would not want anyone to elect me uh - president of the United States - or vote for me - under the expectation that life would be easier if I were elected,Premise,KENNEDY,"I would not want people to elect me because I promised them the easy, soft life",Premise,KENNEDY,Equivalent,07-10-1960
1960,07 10,I'm confident that this country can meet its responsibilities,Claim,KENNEDY,I think it's going to be difficult,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,I'm confident that this country can meet its responsibilities,Claim,NIXON,I think we should be no - under no illusions whatever about what the responsibilities of the American people will be in the sixties,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,In my opinion they're going to be de- be greater,Premise,NIXON,"Our expenditures for defense, our expenditures for mutual security, our expenditures for economic assistance and technical assistance are not going to get less",Claim,NIXON,Support,07-10-1960
1960,07 10,I think it may be necessary that we have more taxes,Claim,NIXON,In my opinion they're going to be de- be greater,Claim,NIXON,Support,07-10-1960
1960,07 10,I would have no hesitation to ask the American people to pay the taxes even in l961 - if necessary - to maintain a sound economy and also to maintain a sound dollar,Claim,NIXON,I think it may be necessary that we have more taxes,Claim,NIXON,Support,07-10-1960
1960,07 10,I would have no hesitation to ask the American people to pay the taxes even in l961 - if necessary - to maintain a sound economy and also to maintain a sound dollar,Premise,NIXON,"when you do not tax, and tax enough to pay for your outgo, you pay it many times over in higher prices and inflation",Claim,NIXON,Support,07-10-1960
1960,07 10,I would have no hesitation to ask the American people to pay the taxes even in l961 - if necessary - to maintain a sound economy and also to maintain a sound dollar,Claim,NIXON,I simply will not do that,Claim,NIXON,Support,07-10-1960
1960,07 10,it isn't going to be working that way,Premise,NIXON,The platform suggests that it can be done through economic growth,Claim,NIXON,Attack,07-10-1960
1960,07 10,it isn't going to be working that way,Premise,NIXON,You can't add billions of dollars to our expenditures and not pay for it,Claim,NIXON,Support,07-10-1960
1960,07 10,it isn't going to be working that way,Premise,NIXON,"it isn't paid for by my money, it isn't paid for by his, but by the people's money",Claim,NIXON,Support,07-10-1960
1960,07 10,"I think I should also add that as far as Senator Kennedy's proposals are concerned, if he intends to carry out his platform - the one adopted in Los Angeles - it is just impossible for him to make good on those promises without raising taxes or without having a rise in t- prices or both",Claim,NIXON,it isn't going to be working that way,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,I believed in a balanced budget,Premise,KENNEDY,Unless there was a severe recession larger than in any Administration in the history of the United States,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,They're wholly inaccurate,Premise,KENNEDY,Mr. Nixon has continued to state these fantastic figures of what the Democratic budget platform would cost,Claim,KENNEDY,Support,07-10-1960
1960,07 10,They're wholly inaccurate,Claim,KENNEDY,I believed in a balanced budget,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,I should point out here that Senator Kennedy has attacked our foreign policy,Premise,NIXON,He's said that it's been a policy that has led to defeat and retreat,Claim,NIXON,Support,07-10-1960
1960,07 10,I should point out here that Senator Kennedy has attacked our foreign policy,Premise,NIXON,In this Administration we've stopped them at Quemoy and Matsu,Claim,NIXON,Attack,07-10-1960
1960,07 10,I should point out here that Senator Kennedy has attacked our foreign policy,Premise,NIXON,we've stopped them in Indochina,Claim,NIXON,Attack,07-10-1960
1960,07 10,I should point out here that Senator Kennedy has attacked our foreign policy,Premise,NIXON,we've stopped them in Lebanon,Claim,NIXON,Attack,07-10-1960
1960,07 10,I should point out here that Senator Kennedy has attacked our foreign policy,Premise,NIXON,we've stopped them in other parts of the world,Claim,NIXON,Attack,07-10-1960
1960,07 10,I should point out here that Senator Kennedy has attacked our foreign policy,Premise,NIXON,"In the Truman Administration, six hundred million people went behind the Iron Curtain including the satellite countries of Eastern Europe and Communist China",Claim,NIXON,Attack,07-10-1960
1960,07 10,You can't tell me that a surplus food distribution of five cents per person and that nearly six million Americans receiving that - is adequate,Premise,KENNEDY,"Mr. Nixon uh- I'll just give you the testimony of Mr. George Aiken - Senator George Aiken, the ranking minority member - Republican member - and former chairman of the Senate Agricultural Committee testifying in 1959 - said there were twenty-six million Americans who did not have the income to afford a decent diet",Claim,KENNEDY,Support,07-10-1960
1960,07 10,You can't tell me that a surplus food distribution of five cents per person and that nearly six million Americans receiving that - is adequate,Premise,KENNEDY,"Mr. Benson, testifying on the food stamp plan in 1957, said there were twenty-five million Americans who could not afford a elementary low-cost diet",Claim,KENNEDY,Support,07-10-1960
1960,07 10,You can't tell me that a surplus food distribution of five cents per person and that nearly six million Americans receiving that - is adequate,Premise,KENNEDY,he defined that as someone who uses beans in place of meat,Claim,KENNEDY,Support,07-10-1960
1960,07 10,You can't tell me that a surplus food distribution of five cents per person and that nearly six million Americans receiving that - is adequate,Claim,KENNEDY,You can't tell me that any one who uses beans instead of meat in the United States is well fed or adequately fed,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,You can't tell me that a surplus food distribution of five cents per person and that nearly six million Americans receiving that - is adequate,Premise,KENNEDY,Now I've seen a good many hundreds of thousands of people who are uh - not adequately fed,Claim,KENNEDY,Support,07-10-1960
1960,07 10,You can't tell me that a surplus food distribution of five cents per person and that nearly six million Americans receiving that - is adequate,Claim,KENNEDY,I believe that we should not compare what our figures may be to India or some other country that has serious problems but to remember that we are the most prosperous country in the world and that these people are not getting adequate food they're not getting in many cases adequate shelter,Claim,KENNEDY,Support,07-10-1960
1960,07 10,"he has a responsibility to be accurate, and not to misstate the case",Claim,NIXON,he has a responsibility to be accurate,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,"he has a responsibility to be accurate, and not to misstate the case",Claim,NIXON,this just wasn't true,Claim,NIXON,Support,07-10-1960
1960,07 10,"he has a responsibility to be accurate, and not to misstate the case",Claim,NIXON,I don't think he should say that our prestige is at an all-time low,Claim,NIXON,Support,07-10-1960
1960,07 10,"he has a responsibility to be accurate, and not to misstate the case",Claim,NIXON,I think he has a perfect right and a responsibility to criticize this Administration whenever he thinks we're wrong,Claim,NIXON,Attack,07-10-1960
1960,07 10,I have a responsibility to correct him every time he misstates the case,Claim,NIXON,he has a responsibility to be accurate,Claim,NIXON,Support,07-10-1960
1960,07 10,I intend to continue to do so,Claim,NIXON,I have a responsibility to correct him every time he misstates the case,Claim,NIXON,Support,07-10-1960
1960,07 10,he has a responsibility to be accurate,Claim,NIXON,"he's doing a very effective job of that, in his way",Claim,NIXON,Attack,07-10-1960
1960,07 10,It isn't necessary to run America down in order to build her up,Claim,NIXON,"in pointing out the things that are wrong, I think we ought to emphasize America's strengths",Claim,NIXON,Support,07-10-1960
1960,07 10,"in pointing out the things that are wrong, I think we ought to emphasize America's strengths",Premise,NIXON,"We're the best fed; we're the best clothed, with a better distribution of this world's goods to all of our people than any people in history",Claim,NIXON,Support,07-10-1960
1960,07 10,I don't think it was helpful when he suggested that seventeen million people go to bed hungry every night in the United States,Claim,NIXON,this just wasn't true,Premise,NIXON,Attack,07-10-1960
1960,07 10,it's wrong,Claim,NIXON,this just wasn't true,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,it's wrong,Premise,NIXON,I think this is very harmful at a time Mr. Khrushchev is here,Claim,NIXON,Support,07-10-1960
1960,07 10,"We're the best fed; we're the best clothed, with a better distribution of this world's goods to all of our people than any people in history",Premise,NIXON,"the thing that is right about the United States, it should be emphasized, is that less people go to bed hungry in the United States than in any major country in the world",Premise,NIXON,Support,07-10-1960
1960,07 10,"We're the best fed; we're the best clothed, with a better distribution of this world's goods to all of our people than any people in history",Premise,NIXON,"there are people who go to bed hungry in the United States - far less, incidentally, than used to go to bed hungry when we came into power at the end of the Truman Administration",Premise,NIXON,Support,07-10-1960
1960,07 10,"We're the best fed; we're the best clothed, with a better distribution of this world's goods to all of our people than any people in history",Claim,KENNEDY,I believe that we should not compare what our figures may be to India or some other country that has serious problems but to remember that we are the most prosperous country in the world and that these people are not getting adequate food they're not getting in many cases adequate shelter,Premise,NIXON,Attack,07-10-1960
1960,07 10,I don't think he should say that our prestige is at an all-time low,Claim,NIXON,it's wrong,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,I don't think he should say that our prestige is at an all-time low,Claim,NIXON,it's wrong,Claim,NIXON,Support,07-10-1960
1960,07 10,we get it absolutely clear: Senator Kennedy must as a candidate criticize us when we're wrong,Claim,NIXON,I think he has a perfect right and a responsibility to criticize this Administration whenever he thinks we're wrong,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,I did,Premise,NIXON,What I criticized were the policies that made it necessary to go to Korea,Claim,NIXON,Support,07-10-1960
1960,07 10,I did,Premise,NIXON,"as I pointed out in 1952, I made it very clear that as far as the Korean War was concerned, that I felt that the decision to go into the war in Korea was right and necessary",Claim,NIXON,Support,07-10-1960
1960,07 10,I believe that on this subject we can balance the budget unless we have a national emergency or unless we have a severe recession,Claim,KENNEDY,I believed in a balanced budget,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,You can't tell me that any one who uses beans instead of meat in the United States is well fed or adequately fed,Premise,KENNEDY,there are twenty-five million of them according to Mr. Benson,Claim,KENNEDY,Support,07-10-1960
1960,07 10,You can't tell me that any one who uses beans instead of meat in the United States is well fed or adequately fed,Claim,KENNEDY,I believe that we should not compare what our figures may be to India or some other country that has serious problems but to remember that we are the most prosperous country in the world and that these people are not getting adequate food they're not getting in many cases adequate shelter,Claim,KENNEDY,Support,07-10-1960
1960,07 10,I believe strongly in the defense of Formosa,Premise,KENNEDY,"the United States uh - has on occasion attempted uh - mostly in the middle fifties, to persuade Chiang Kai-shek to pull his troops back to Formosa",Claim,KENNEDY,Support,07-10-1960
1960,07 10,I believe strongly in the defense of Formosa,Claim,KENNEDY,I believe that we should defend Formosa,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,I believe strongly in the defense of Formosa,Claim,KENNEDY,We should come to its defense,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,We say we will defend it if it's part of a general attack on Formosa,Premise,KENNEDY,"These islands are a few miles - five or six miles - off the coast of Red China, within a general harbor area and more than a hundred miles from Formosa",Claim,KENNEDY,Support,07-10-1960
1960,07 10,We say we will defend it if it's part of a general attack on Formosa,Claim,KENNEDY,I believe strongly in the defense of Formosa,Claim,KENNEDY,Support,07-10-1960
1960,07 10,We say we will defend it if it's part of a general attack on Formosa,Claim,KENNEDY,it's extremely difficult to make that judgment,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,We say we will defend it if it's part of a general attack on Formosa,Claim,KENNEDY,I believe that we should defend Formosa,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,We say we will defend it if it's part of a general attack on Formosa,Claim,KENNEDY,I think is a mistake,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,We have never said flatly that we will defend Quemoy and Matsu if it's attacked,Claim,KENNEDY,We say we will defend it if it's part of a general attack on Formosa,Claim,KENNEDY,Support,07-10-1960
1960,07 10,We have never said flatly that we will defend Quemoy and Matsu if it's attacked,Claim,KENNEDY,I think is a mistake,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,We should come to its defense,Claim,KENNEDY,We say we will defend it if it's part of a general attack on Formosa,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,"I believe that when you get into a w- if you're going to get into war for the defense of Formosa, it ought to be on a clearly defined line",Claim,KENNEDY,it's extremely difficult to make that judgment,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,"I believe that when you get into a w- if you're going to get into war for the defense of Formosa, it ought to be on a clearly defined line",Claim,NIXON,I disagree completely with Senator Kennedy on this point,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,it's extremely difficult to make that judgment,Premise,KENNEDY,General Ridgway has said the same thing,Claim,KENNEDY,Support,07-10-1960
1960,07 10,it's extremely difficult to make that judgment,Premise,KENNEDY,"Admirals Spruance and Callins in 1955 said that we should not attempt to defend these islands, in their conference in the Far East",Claim,KENNEDY,Support,07-10-1960
1960,07 10,it's extremely difficult to make that judgment,Premise,KENNEDY,"Now, Mr. Herter in 1958, when he was Under Secretary of State, said they were strategically undefensible",Claim,KENNEDY,Support,07-10-1960
1960,07 10,I believe that we should defend Formosa,Claim,KENNEDY,We should come to its defense,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,I think is a mistake,Premise,KENNEDY,"To leave this rather in the air, that we will defend it under some conditions but not under other",Claim,KENNEDY,Support,07-10-1960
1960,07 10,I think is a mistake,Claim,KENNEDY,I do not believe that that line in case of war should be drawn on those islands but instead on the island of Formosa,Claim,KENNEDY,Support,07-10-1960
1960,07 10,I think is a mistake,Claim,KENNEDY,I would not suggest the withdrawal at the point of the Communist gun,Claim,KENNEDY,Support,07-10-1960
1960,07 10,I believe strongly we should do so in Berlin,Claim,KENNEDY,I believe we should meet our commitments to every country whose security we've guaranteed,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,I believe strongly we should do so in Berlin,Claim,KENNEDY,I believe we should meet our commitments to every country whose security we've guaranteed,Claim,KENNEDY,Support,07-10-1960
1960,07 10,I believe strongly we should d- do so in Formosa,Claim,KENNEDY,I believe we should meet our commitments to every country whose security we've guaranteed,Claim,KENNEDY,Support,07-10-1960
1960,07 10,I believe strongly we should d- do so in Formosa,Claim,KENNEDY,I think that uh - we should protect our commitments,Claim,KENNEDY,Support,07-10-1960
1960,07 10,It is a decision finally that the Nationalists should make,Claim,KENNEDY,I believe that we should consult with them and attempt to work out a plan by which the line is drawn at the island of Formosa,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,"with General Ridgway, Mr. Herter, General Collins, Admiral Spruance and many others, I think it's unwise to take the chance of being dragged into a war which may lead to a world war over two islands which are not strategically defensible, which are not, according to their testimony, essential to the defense of Formosa",Premise,KENNEDY,It leaves a hundred miles between the sea,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,it didn't mean that,Premise,NIXON,I suppose it was hoped when he made that speech that we wouldn't get into a war,Claim,NIXON,Attack,07-10-1960
1960,07 10,it didn't mean that,Premise,NIXON,We had to go in when they came in,Claim,NIXON,Support,07-10-1960
1960,07 10,"I remember in the period immediately before the Korean War, South Korea was supposed to be indefensible as well",Premise,NIXON,"Secretary Acheson made a very famous speech at the Press Club, early in the year that k- Korean War started, indicating in effect that South Korea was beyond the defense zone of the United States",Premise,NIXON,Support,07-10-1960
1960,07 10,"I remember in the period immediately before the Korean War, South Korea was supposed to be indefensible as well",Premise,NIXON,Generals testified to that,Premise,NIXON,Support,07-10-1960
1960,07 10,I disagree completely with Senator Kennedy on this point,Premise,NIXON,"I remember in the period immediately before the Korean War, South Korea was supposed to be indefensible as well",Claim,NIXON,Support,07-10-1960
1960,07 10,I disagree completely with Senator Kennedy on this point,Claim,NIXON,I will hope that Senator Kennedy will change his mind if he should be elected,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,I disagree completely with Senator Kennedy on this point,Premise,NIXON,"Now I think as far as Quemoy and Matsu are concerned, that the question is not these two little pieces of real estate - they are unimportant",Claim,NIXON,Support,07-10-1960
1960,07 10,I am against it,Claim,NIXON,I would never tolerate it as president of the United States,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,I am against it,Claim,NIXON,In my opinion this is the same kind of woolly thinking that led to disaster for America in Korea,Claim,NIXON,Support,07-10-1960
1960,07 10,I am against it,Claim,NIXON,If we do that we start a chain reaction,Claim,NIXON,Support,07-10-1960
1960,07 10,We should not uh - force our Nationalist allies to get off of them and give them to the Communists,Premise,NIXON,These two islands are in the area of freedom,Claim,NIXON,Support,07-10-1960
1960,07 10,We should not uh - force our Nationalist allies to get off of them and give them to the Communists,Premise,NIXON,The Nationalists have these two islands,Claim,NIXON,Support,07-10-1960
1960,07 10,It's the principle involved,Claim,NIXON,We should not uh - force our Nationalist allies to get off of them and give them to the Communists,Claim,NIXON,Support,07-10-1960
1960,07 10,If we do that we start a chain reaction,Premise,NIXON,"the Communists aren't after Quemoy and Matsu, they're a- they're after Formosa",Claim,NIXON,Support,07-10-1960
1960,07 10,"it's been my judgment ever since 1954, at the time of the Eisenhower Doctrine for the Far East, that our line should be drawn in the sea around the island itself",Premise,KENNEDY,as long as they are not essential to the defense of Formosa,Claim,KENNEDY,Support,07-10-1960
1960,07 10,I do not believe that that line in case of war should be drawn on those islands but instead on the island of Formosa,Claim,KENNEDY,"it's been my judgment ever since 1954, at the time of the Eisenhower Doctrine for the Far East, that our line should be drawn in the sea around the island itself",Claim,KENNEDY,Support,07-10-1960
1960,07 10,it isn't the label that he wears or that I wear that counts,Claim,NIXON,"I don't think it's enough to go before Republican audiences - and I never do - and say, ""Look, vote for me because I'm a Republican.""",Claim,NIXON,Support,07-10-1960
1960,07 10,it isn't the label that he wears or that I wear that counts,Premise,NIXON,"I'm a student of history as is Senator Kennedy, incidentally; and I have found that in the history of this country we've had many great presidents. Some of them have been Democrats and some of them have been Republicans",Claim,NIXON,Support,07-10-1960
1960,07 10,it isn't the label that he wears or that I wear that counts,Claim,NIXON,"I believe the people, therefore, should be asked to make up their minds not simply on the basis of, ""Vote the way your grandfather did; vote the way your mother did.""",Claim,NIXON,Support,07-10-1960
1960,07 10,it isn't the label that he wears or that I wear that counts,Claim,KENNEDY,I do think that parties are important in that they tell something about the program and something about the man,Claim,NIXON,Attack,07-10-1960
1960,07 10,I think that record tells something,Premise,KENNEDY,"the Republicans in recent years - not only in the last twenty-five years, but in the last eight years - have opposed housing, opposed care for the aged, opposed federal aid to education, opposed minimum wage",Claim,KENNEDY,Support,07-10-1960
1960,07 10,I think that record tells something,Premise,KENNEDY,only if it tells something about the record,Claim,KENNEDY,Support,07-10-1960
1960,07 10,It's what we stand for,Claim,NIXON,It's what we believe,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,It's what we stand for,Claim,NIXON,it isn't the label that he wears or that I wear that counts,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,It's our whole lives,Claim,NIXON,It's what we believe,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,It's our whole lives,Claim,NIXON,It's what we stand for,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,It's what we are,Claim,NIXON,It's what we believe,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,It's what we are,Claim,NIXON,It's what we stand for,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,It's what we are,Claim,NIXON,It's our whole lives,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,It's what we believe,Claim,NIXON,it isn't the label that he wears or that I wear that counts,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,"I think the people should put America first, rather than party first",Claim,NIXON,it isn't the label that he wears or that I wear that counts,Claim,NIXON,Support,07-10-1960
1960,07 10,I believe that in an election when we are trying to determine who should lead the free world,Premise,NIXON,not just America,Claim,NIXON,Support,07-10-1960
1960,07 10,That isn't enough,Claim,NIXON,"I don't think it's enough for Senator Kennedy to go before the audiences on the Democratic side and say, ""Vote for me because I'm a Democrat.""",Claim,NIXON,Equivalent,07-10-1960
1960,07 10,That isn't enough,Claim,NIXON,What's involved here is the question of leadership for the whole free world,Claim,NIXON,Support,07-10-1960
1960,07 10,"I don't think it's enough to go before Republican audiences - and I never do - and say, ""Look, vote for me because I'm a Republican.""",Claim,NIXON,"I don't think it's enough for Senator Kennedy to go before the audiences on the Democratic side and say, ""Vote for me because I'm a Democrat.""",Claim,NIXON,Equivalent,07-10-1960
1960,07 10,What's involved here is the question of leadership for the whole free world,Claim,NIXON,Now that means the best leadership,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,This is what I deeply believe,Premise,NIXON,They will move her forward faster,Claim,NIXON,Support,07-10-1960
1960,07 10,This is what I deeply believe,Premise,NIXON,they will move her more surely than in his program,Claim,NIXON,Support,07-10-1960
1960,07 10,I do think that parties are important in that they tell something about the program and something about the man,Premise,KENNEDY,Abraham Lincoln was a great president of all the people,Claim,KENNEDY,Support,07-10-1960
