,head,relation,tail
41,we're going to go after all crime,__label__Support,that's what's gonna happen in the State of Texas
42,I'm convinced we'll do it,__label__Support,We need strong leadership
43,I believe in competition,__label__Support,"the idea came not even from Paul Ryan or -- or Senator Wyden, who's the co-author of the bill with -- with Paul Ryan in the Senate, but also it came from Bill -- Bill Clinton's chief of staff"
44,This is not just a women's issue,__label__Support,this is a family issue
45,the dictator Milosevic was hanging on,__label__Support,"I invited the former prime minister of Russia to my house and took a risk in asking him to get personally involved, along with the head of Finland, to go to Belgrade and to take a set of proposals from the United States that would constitute basically a surrender by Serbia"
46,"we're not going into a recession in this country, economically",__label__Support,He feels that we're moving ahead
47,I will not put myself in that position as a leader in this country,__label__Attack,I think that if you were to take a look at the failures of this administration that would have to be number one
48,The only way to become less dependent on foreign sources of crude oil is to explore at home,__label__Support,we need an active exploration program in America
49,I also suggested we ought to have an emergency excise tax on gasoline,__label__Support,"Recycle those proceeds, then, back into the pockets of the American workers by reducing their tax payments. their Social Security tax payments by 50%"
50,it doesn't satisfy them,__label__Support,"I say that those of us who stand against surrender of territory - this or any others - in the face of blackmail, in the s- face of force by the Communists are standing for the course that will lead to peace"
51,"If you don't support parents and you don't support children, how -- how can you say you support families?",__label__Attack,"the Bush administration has cut out -- has vetoed family leave, they have cut childhood immunization and college aid"
52,"to say to a mother with young children that if she gets a good job, her children are not going to lose their Medicaid benefits",__label__Support,Bill Clinton and I want to change that
53,I did not say that the Arizona law was a model for the nation in that aspect,__label__Support,I said that the E-Verify portion of the Arizona law
54,we saved the taxpayers $16 billion,__label__Attack,"The first thing you did when you came into office was set up the stimulus package, said we've got a little pork we want to scatter around America, $16 billion"
55,"Somebody who sits in Washington, D.C., eighteen months after the Mayaguez incident, can be a very good grandstand quarterback",__label__Support,It seems to me that those who sit in Washington eighteen months after the incident are not the best judges of the decision-making process that had to be made by the National Security Council and by myself at the time the incident was developing in the Pacific
56,"I think, will be very helpful in reversing the gold flow which you spoke about",__label__Support,The United States cannot continue to carry the major share of this burden by itself
57,we can create more jobs there in a hurry than any other place,__label__Support,Small business--you've got to have capital
58,I also share your belief that weapons that were designed for soldiers in war theaters don't belong on our streets,__label__Support,we've got more to do when it comes to enforcement
59,America has not dictated to other nations,__label__Attack,You said that on occasion America had dictated to other nations
60,"It takes eight years, ten years, to do that",__label__Attack,"The Governor talks about limits, what we can't do, opposes these two modernization systems, talks now about well, we'll develop some new kind of a missile"
61,it's time for us to say that Medicare is in pretty much the same condition that Social Security was,__label__Support,something is going to have to be done in the next several years to make it fiscally sound
62,Most people want to see their own doctor,__label__Support,They're going to see their own doctor when Bob Dole is president
63,I know what it is to have a dream and have a job and work hard to employ others and really to participate in the American dream,__label__Support,"we want for you America's greatest gift. And that is opportunity. And then, peace"
64,"I would like to point out that when we look at our programs in Latin America, we find that we have appropriated five times as much for Latin America as was appropriated by the previous Administration",__label__Support,We have moved in Latin America very effectively
65,"It's called ""Stronger Together.""",__label__Support,I have written a book about it
66,so much trust has broken down in the aftermath of the change of government,__label__Support,It is a very difficult environment
67,"I meet these people all the time, and they tell me what a difference having that insurance meant to them and their families.",__label__Support,"But everybody else, the 170 million of us who get health insurance through our employers got big benefits."
68,can't afford,__label__Support,We're not going to spend billions on MX's on railroad cars
69,"I've told people as I've traveled around, all of you that got the tax cut he promised last time, vote for him in '96 and not many hands go up",__label__Attack,"the question is, would you buy a used election promise from my opponent."
70,"I don't understand how we ended up invading a country that had nothing to do with 9/11, while Osama Bin Laden and Al Qaeda are setting up base camps and safe havens to train terrorists to attack us",__label__Support,There are some things I don't understand
71,"In uh - January of 1975 he asked for a tax change: a $5.6 billion increase on low-and-middle-income private individuals, a six and a half billion dollar decrease on the corporations and the special interests",__label__Support,Mr. Ford is - is uh changing uh considerably his previous philosophy
72,that every child has an opportunity to share in the American dream,__label__Support,We want to restore our public schools to the greatness they once represented
73,in what direction it ought to go,__label__Support,do we want this country to go that far left
74,we want to encourage that,__label__Support,"when we think about immigration, we have to understand there are folks all around the world who still see America as the land of promise"
75,Do you really think that our economy is healthy?,__label__Support,8 million Americans being out of work and the 50% unemployment among the youth of our country are acceptable?
76,I think the governor may not have heard what I said clearly,__label__Support,I do have mandatory testing
77,They understand,__label__Attack,"why can’t they do something secretively, where they go in and they knock out the leadership"
78,"we were sure that we had the backing not only of the president and the secretary of state, but also of the Congress and the people",__label__Support,This is a responsibility of the president
79,I chose Senator Walter Mondale,__label__Support,I think this is indicative of what I would do
80,We ought to have universal pre-school,__label__Support,"I want the federal government, consistent with local control and new accountability, to make improvement of our schools the number one priority"
81,There aren't enough rich people and small businesses to tax to pay for all their spending,__label__Support,we think that government taking 28 percent of a family and business's income is enough
82,It's a tragic moment,__label__Support,"I would like to also extend sympathy to the families of those who have died and those who are still missing, and the injured"
83,It's sort of like what Senator Dole did when he sponsored the Americans with Disabilities Act and said to certain stores,__label__Support,Affirmative Action is making that extra effort
84,that's what I've seen you do in this Administration,__label__Support,"that's why we need campaign reform laws, and why I support them"
85,"You've missed a lot of key votes: on tax policy, on energy, on Medicare reform",__label__Support,"Senator, frankly, you have a record in the Senate that's not very distinguished"
86,Our challenge is to stop the financial bleeding,__label__Support,"The basic problem with it, it doesn't balance the budget"
87,shut down the Missile Man - the three - the Minuteman missile production line,__label__Support,"taking that one no from the Soviet Union, we then went back into negotiations on their terms"
88,We had the finest military in the world on the ground,__label__Support,the right thing to do
89,We can work with the entertainment industry to provide family hour,__label__Support,there's things that government can do.
90,"I'm going to work with my friend, John McCain, to further campaign finance reform so we get these incredible amounts of money out of the system and open it up to average people",__label__Support,a genuine effort to try to restore America's hope and possibilities by bringing people together
91,not have them isolate the United States of America,__label__Support,I have a better plan to be able to fight the war on terror
92,I would pass a hate crimes law,__label__Support,I think we need tough enforcement of the civil rights laws
93,"It denigrates an alliance to say we're going alone, to discount their sacrifices",__label__Attack,We're not going to go alone like this president did
94,that's fine,__label__Support,"In the Medicare reform I talk about it says if you are a senior, you can stay in Medicare if you like it"
95,I'm going to be able to balance the budget,__label__Attack,The president hasn't balanced a budget yet
96,Oil production is up,__label__Support,that's what we're going to do in the next four years
97,"I hope I will do a good job as one who has had a relatively clean record with no conflicts of interest in his own public life, as has the Governor, to exhort young people to get into public service",__label__Support,we need the highest possible ethical standards
98,"if it's rape, how do you draw moral judgments on that?",__label__Support,"it's a personal and private, moral judgment"
99,We've got to make sure that we're hardening our chemical sites,__label__Support,we still have a long way to go
100,"If you're paying less than you paid a year or two ago, why, then, the strategy is working",__label__Support,"I will fight for oil, coal and natural gas"
101,Family leave is important enough to be required,__label__Attack,You said: we're for it as long as it's voluntary
102,when it came time to authorize the use of force on the Senate floor,__label__Support,my opponent voted against the use of force
103,You can't do both,__label__Support,You have to choose
104,we shifted people out of administrative jobs into the field to deliver better services,__label__Support,it was a tremendous shift from administrative jobs into the delivery of services
105,he does not believe it,__label__Support,Senator Dole has consistently opposed Federal help to education
106,I think the general feeling is most of the banks are sound,__label__Support,It is sound
107,he recognizes that this is a central part of the war on terror,__label__Support,Prime Minister Allawi said they're coming across the border
108,"you have a report, as we did recently, that six out of 10 CONUS Divisions in this country - Continental United States Army Divisions - simply could not pass a readiness test: that two out of three divisions that were to be allocated to the so-called Rapid Deployment Force could not meet a readiness test",__label__Support,"in most cases, that failure to meet the test was because of a lack of manning requirements, an inability to fill many of the slots in those divisions"
109,"Social Security is stable until, as you pointed out, at least the third decade of the next century",__label__Support,I think what we'll plainly do is what we did in 1983 when Senator Dole served
110,I said we'd refocus attention on those who actually attacked us on 9/11,__label__Support,we have gone after Al Qaeda's leadership like never before
111,"build the kinds of coalitions that will get something done, finally, in Washington",__label__Support,He will make a first rate president
112,"In the case of Helsinki, thirty-five nations signed an agreement, including the secretary of state for the Vatican",__label__Support,"I can't under any circumstances believe that the - His Holiness, the Pope would agree by signing that agreement that the thirty-five nations have turned over to the Warsaw Pact nations the domination of the - Eastern Europe"
113,I'm going to stop other things,__label__Support,This is the approach we have to take to get America to a balanced budget
114,we have private vouchers so that individuals can choose for themselves where they live and we're selling these units to many of those who want to buy them,__label__Support,"we're going to do a lot more of it, if we have the opportunity with the help of the American people"
115,that means not running big deficits here and not squandering our surplus,__label__Support,"I think that in the aftermath of the Cold War, it's time for us to do something very similar"
116,giving tax credits to individuals and businesses to conserve and use energy more efficiently,__label__Support,we would be further along in the implementation of that long-term strategy aimed at developing cleaner sources of energy
117,"a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater",__label__Support,"there have been too many instances during the course of my presidency, where I've had to comfort families who have lost somebody"
118,"the future is, who's going to be the next president of the US",__label__Support,we ought to look to the future
119,Suggestion that somehow all of it is going for tax cuts isn't true,__label__Support,The fact is that the program that we put together we think is very responsible
120,if he's so much for it,__label__Support,There's a bill on the floor of the United States Senate that he could have showed up and voted for
121,The US is doing better than a lot,__label__Support,we've got to do even better
122,"they don't have to pay additional money, no additional $6,000",__label__Support,they'll have at least two plans that will be entirely at no cost to them
123,put government back on the side of the American people,__label__Support,stop the greed and corruption on Wall Street
124,It's a subject I'm very familiar with,__label__Support,Many people are coming to this country for economic reasons
125,It's not doing the job though,__label__Support,We need flexibility in No Child Left Behind
126,It's going to destabilize the Middle East,__label__Support,"I said, it's a terrible and a stupid thing"
127,They're -- they're still arming the man,__label__Support,we should not have waited to Russia should not have waited for Russia to give us the green light at the U.N. to do something about it
128,We're ahead of all of the Western European country,__label__Support,the United States' economic recovery from the recession of a year ago is well ahead of the economic recovery of any major free industrial nation in the world today
129,Your sons and daughters are doing better in school,__label__Support,Test scores are going up
130,I believe Governor Romney is a good man,__label__Attack,I think the president's campaign has tried to characterize me as -- as someone who's very different than who I am
131,my whole life has been devoted to leveling the playing field for middle-class people,__label__Support,my record stands for itself
132,the significant difference here on this issue is that Al Gore and I respect and will protect a woman's right to choose,__label__Attack,Our opponents will not
133,Michael Dukakis wasn't looking for a clone,__label__Support,that's one of the reasons I'm delighted and proud to be on the ticket with him
134,they didn't want him to be furloughed again,__label__Support,I am not going to furlough men like Willie Horton
135,I say that is not in a braggadocios way,__label__Support,it's about time that this country had somebody running it that has an idea about money
136,They now hold a trillion dollars' worth of our debt,__label__Support,"we've got challenges, for example, with China, where we are borrowing billions of dollars"
137,I'm for the D-5,__label__Support,I don't think we need these other systems
138,"I've had to make thousands of decisions, and each one of those decisions has been a learning process",__label__Support,I've been President now for almost four years
139,I'm for shrinking the size of government,__label__Support,I'm not for a government-run system
140,"His whole body was shaking from the nerve disease, the muscular disease that he had",__label__Support,"And he said to me and to the whole hall, he said, ""You know, don't take away my hope, because my hope is what keeps me going."""
141,we're going to allow people 55 to 64 to buy into Medicare early,__label__Support,I got a better plan
142,"We can do that if we have an aggressive trade policy for our country, if we make trade a number one priority and not trade it off for some foreign policy objective at the moment",__label__Support,"the way I would accomplish that--was with a tough trade policy, opening up those markets, getting those prices back up to market prices"
143,This makes it almost impossible for us to have a good health program,__label__Support,This needs to be changed
144,we structured the plan so that six million additional American families pay no taxes,__label__Support,What I've done is set priorities and funded them
145,It takes -- you know -- months and months and months to draw down forces,__label__Support,you cannot wait and have a cliff
146,"It’s catastrophic in certain ways.But she wants to go to single payer, which means the government basically rules everything.",__label__Support,"She wants to go to a single-payer plan, which would be a disaster, somewhat similar to Canada"
147,He can set up a fact-finding committee,__label__Attack,The fact-finding committee's powers are limited
148,She's right,__label__Support,Let me tell you where the biggest discrimination comes. In public education when we just move children through the schools
149,That's what I've tried to do,__label__Support,that's what I will continue to do as president
150,"It's a question between trust and fear, and I would say",__label__Attack,all you've got going in this campaign is fear
151,He said he would have by now put forward a plan to reform Medicare and Social Security,__label__Support,This is a president who has not been able to do what he said he'd do
152,employers are looking for skilled workers,__label__Support,we're matching them up
153,the American Hospital Association said that the budget I vetoed could have closed 700 hospitals,__label__Support,Not me
154,He said that a fish rots from the head down as he was going after Ed Meese,__label__Support,"yet this man, the governor, equated the President to a rotting fish"
155,"I understand they do include investments outside the United States, including in -- in Chinese companies",__label__Support,Any investments I have over the last eight years have been managed by a blind trust
156,They didn't tell you that that same year they increased spending $1.83 for every dollar we increased taxes,__label__Attack,"They told you at the tax and budget summit that if you agreed to a tax increase, we could balance the budget"
157,the diminished value of those homes and let people be able to make those,__label__Support,I would order the secretary of the treasury to immediately buy up the bad home loan mortgages in America
158,any more than many of the other rights that we have should be subject to popular vote,__label__Support,I think that the Constitution has a right to privacy in it that shouldn't be subject to state referendum
159,My uncle was a victim of poisonous gas there,__label__Support,Millions of Americans saw the results of that conflict
160,We've got ten and a half million new jobs,__label__Support,The American people can make up their mind about whether that's a liberal record or a record that's good for America
161,We have a deficit because this country went into a recession,__label__Support,We have a deficit
162,We believe that taxes should not be increased on those families,__label__Support,"We have a plan to cut taxes on middle income families within a balanced budget plan, eliminating the deficit and protecting Medicare, Medicaid, education and the environment"
163,now in the 1980s and 1984 when they can get our of the country to escape communism so they can come here and practice their religion,__label__Support,Our country is founded on the principle that our government should be neutral as far as religion is concerned.
164,We're going to restore the fiscal discipline we had in the 1990s,__label__Support,"reinstating what President Bush took away, which is called pay as you go"
165,I don't know how to deal with it exactly,__label__Support,I've made some mistakes
166,"all economists say that if we did that, it would throw us into a deep recession or depression and put millions out of work",__label__Support,"That used to be an integral part of this so-called ""Supply Side Economics,"" but it may be something else that he now agrees with Bob Dole on, because Bob Dole voted to take us off the gold standard, a wise vote in my opinion"
167,"It’s the opinion of many others, national security experts, Republicans, former Republican members of Congress",__label__Support,it’s not only my opinion
168,We’re going to make great trade deals,__label__Attack,It’s hard to believe
169,we have to succeed,__label__Support,we have to succeed
170,it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy,__label__Support,"One is it designates a number of banks as too big to fail, and they're effectively guaranteed by the federal government"
171,They can be carried out underground,__label__Support,I don't think that even if that effort fails that it will be necessary to carry on tests in the atmosphere which pollute the atmosphere
172,we just have a web of wrong-way incentives that has to be changed by some people who are in the medical profession and some other crafty people who know how to write contracts to change incentives or get -- get the -- the incentives situation under control,__label__Support,"the incentives that are in our current way of doing business, are what are killing us"
173,I think he paid about the same percentage as I did in total taxes,__label__Attack,"we did find estimates that his income for those three years is a million, four hundred thousand dollars"
174,Governor Romney talked about he wants to make Pell Grants and other education accessible for young people,__label__Support,that's exactly what we've done
175,It is going to take us to much better advantage in conventional forces,__label__Support,now we've got a very good concept called competitive strategies
176,The rate of regulations quadrupled under this president,__label__Support,Regulations have quadrupled
177,in El Salvador was not pushing the head of the government to move toward correction of the civil rights; human rights problems that existed there,__label__Support,what is being done by this administration is an Americanizing of a regional conflict
178,We need to stop this proliferation of weapons of mass destruction,__label__Support,"We need to continue the negotiations to reduce the nuclear arsenals in the Soviet Union, the former Soviet Union, and the United States"
179,I said that wasn't the right thing to do,__label__Support,I went for one tax increase and when I make a mistake I admit it
180,Osama bin Laden escaped,__label__Support,We need a president who stays deadly focused on the real war on terror
181,These are the policies I have fought for my entire career,__label__Support,these are the policies I want to bring to the White House
182,"then administration had people in the military - they were at war, they were fighting overseas",__label__Support,"you cannot compare unemployment, as you sought to, uh - with the present time with the 1950s"
183,Build a whole bunch of them,__label__Support,"We have to have all of the above, alternative fuels, wind, tide, solar, natural gas, clean coal technology"
184,That's what our message is to the people watching,__label__Support,We want the government to pinch their pennies for a change instead of the people pinching their pennies
185,That's why I'm so strong for accountability,__label__Support,One of the good things we've gone in Texas is we have strong accountability
186,This year Mr. Ford will not pass more than 26 percent of all the legislative proposals he puts forward,__label__Support,This is government by stalemate
187,"President Truman vetoed on the average, while he was president, about thirty-eight bills a year",__label__Support,the Governor has also played a little fast and loose with the facts about vetoes
188,if we can get this law changed,__label__Support,everybody should make the extraordinary effort to take these kids that are unwanted and sometimes aborted
189,I think you must have some principles you believe in,__label__Support,"I think also that in leadership -- well, I believe that you find people, positions such as I'm in who have the talent and ability to do the things that are needed in the various departments of government."
190,I know how to get him,__label__Support,I'll get him no matter what and I know how to do it
191,it's also because of reason and science,__label__Support,It's not simply because of my Catholic faith
192,"we also provide over $100 billion in tax relief, in terms of incentives for new plants, new small businesses, new technologies, new housing, and for middle class families",__label__Support,I believe we can increase investment and reduce the deficit at the same time
193,"There is a specific measure on the ballot in California. It was embodied in legislation, introduced by Senator Dole, to apply to the whole nation. Mr. Kemp campaigned against it, spoke against it, wrote letters against it, went to California to fight against it, and now has endorsed it",__label__Support,I do not believe that Abraham Lincoln would have adopted Bob Dole's position to end all affirmative action
194,Keep the trust with the older men and women of this country,__label__Support,I am going to keep that Social Security Trust Fund sound
195,I voted for IRA tax cuts,__label__Support,I have supported or voted for tax cuts over 600 times
196,I think that Senator Kennedy's policies and recommendations for the handling of the Castro regime are probably the most dangers- dangerously irresponsible recommendations that he's made during the course of this campaign,__label__Support,Our policies are very different
197,He didn't wait 3 and a half years,__label__Attack,We still didn't get an answer to the question of why George Bush waited for 3 and a half years
198,Not with the measure that leaves the majority of them without any real basic help until the next president's term of four years is over. But right away,__label__Support,we need to do something about that
199,"I run for the presidency with full knowledge that his great responsibility, really, given to him by the Constitution and by the force of events, is in the field of foreign affairs",__label__Support,"The president bears the constitutional responsibility, not the secretary of state, for the conduct of foreign affairs"
200,Tell Tony Blair we're going alone,__label__Support,Tell Silvio Berlusconi we're going alone
201,when we bring our democratic neighbors and allies together here in this hemisphere and go to work together,__label__Support,"I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January"
202,"No, it's going to totally help you",__label__Attack,That's not going to help in the entitlements
203,Now looking at Senator Kennedy's credentials: he is suggesting that he will move America faster and further than I will,__label__Support,"And I believe the American people have to make the choice on November eighth between the view of whether we have to move ahead faster, whether what we're doing now is not satisfactory, whether we have to build greater strength at home and abroad"
204,"We have a great many people, hundreds of thousands of people living on public assistance in this country",__label__Support,The 50 governors of this nation have proposed to the Congress that we help those families to get off of welfare
205,I want you to have your own asset that you can call your own,__label__Attack,I want to get a better rate of return for your own money than the paltry 2% that the current Social Security Trust gets today
206,I think Congress is hungry for someone who will work with them instead of manipulate them,__label__Attack,"Someone who will not veto a bill that has an investment tax credit, middle class tax relief, research and development tax credits as Mr. Bush has done"
207,"they went through a horrible situation in Beslan, where these terrorists gunned down young school kids",__label__Support,he's also a strong ally in the war on terror
208,"Have I made a difference in the Congress that I've served for 12 years? Yes, I have",__label__Support,I have more experience and accomplishments than does the Governor of Massachusetts
209,He's the first president in 72 years to lose jobs,__label__Support,This is the biggest turnaround in the history of the country
210,we also have to take demand seriously,__label__Attack,We're consuming 50 percent of the world's cocaine
211,"if you think I was proud of it, I think you misread me",__label__Attack,I'm not proud of that
212,the fact of the matter is: here is where I stand and I just want to have it on the public record,__label__Attack,which uh - is of course his right
213,"All of that would be lost if we followed Senator Obama's plan to have specific dates with withdrawal, regardless of conditions on the ground",__label__Support,we can't do what Senator Obama wants to do
214,"by working and coordinating our efforts together, not threatening to attack them",__label__Support,get them to work with us and turn against the cruel Taliban and others
215,"hat can build jobs in every part of this country,",__label__Attack,not certain parts of this country
216,we can't make it,__label__Support,We can
217,That's not the main issue,__label__Attack,"I would sign a law banning that procedure, provided that doctors have the ability to save a woman's life or to act if her health is severely at risk"
218,"I said, no, we can't afford that",__label__Support,I was there
219,I bring down the tax rates,__label__Support,"lower deductions and exemptions, the same idea behind Bowles-Simpson, by the way, get the rates down, lower deductions and exemptions, to create more jobs"
220,"Under my plan, if you make -- the top -- the wealthy people pay 62% of the taxes today.",__label__Support,Afterwards they pay 64%
221,he's in the arena,__label__Support,I would cite again Dan Quayle
222,"But we will have vetting that is as tough as it needs to be from our professionals, our intelligence experts and others",__label__Attack,"But it is important for us as a policy, you know, not to say, as Donald has said, we’re going to ban people based on a religion"
223,We have people who are unemployed,__label__Support,irrespective of whether he thinks it is or not means less than fact that this country cannot morally and socially and economically accept an economy running out the clock on the 20th Century
224,He wants you to believe that because he can't come here and tell you that he's created new jobs for America,__label__Support,the president wishes that I had changed my mind
225,I am not going to raise taxes,__label__Support,I will not raise taxes
226,"when we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times",__label__Support,"We haven’t seen anything like this, the carnage all over the world.And they look and they see"
227,"I have talked of having zones in those cities that are run down, where there is a high percentage of people on welfare, and offer tax incentives",__label__Support,there are other things that we can do with the inner cities
228,We have the record of the Truman Administration of seven and a half years and the seven and a half years of the Eisenhower Administration,__label__Support,I think we find that America has been moving ahead.
229,We don't want to extend beyond 2014,__label__Support,We want to make sure that 2014 is successful
230,"we ought to go after the ones that pollute, not go after the men and women who want to be able to drive their automobile to work or to school and to make sure that they have the type of opportunity to live like everyone else without having themselves regulated by Washington establishment",__label__Support,"It is not being able to be used because we are going to take every automobile driver in America, all 110 million automobiles, and charge them 17 or 20 or $25"
231,"They were just shuffling too many kids through the system, year after year, grade after grade, without learning the basics",__label__Support,I saw a problem in the public education system in America
232,A new granddaughter was born in my family -- my granddaughter- -3 weeks ago,__label__Support,"according to the statistics that we have -- that is, the Perot group -- the chances of her seeing a doubling of the standard of living are nil"
233,restore America's exports,__label__Support,"As President, I would press for long-term, vigorous economic growth"
234,I'll get America and North America energy independent,__label__Support,that's what I'm going to do
235,You can't change the dynamics on the ground if you've criticized the brave leader of Iraq,__label__Attack,What I want to do is change the dynamics on the ground
236,We'll also make sure that we have trade relations with China that work for us,__label__Attack,"I've watched year in and year out as companies have shut down and people have lost their jobs because China has not played by the same rules, in part by holding down artificially the value of their currency"
237,we also think banning the horrific practice of partial birth abortions is an area where there could be agreement,__label__Support,We want to reduce the incidence of abortion on our society
238,"Between the World Trade Center bombing in, what was it, 1993 or so, and the next time was five years, seven years",__label__Support,These people wait
239,"Same with the Latino Americans, the Hispanic Americans",__label__Attack,She doesn’t get it done
240,"Then you heard what I was saying, how bad it is, and you said, I can't win that debate",__label__Support,now you want to approve Trans-Pacific Partnership
241,I understand that we must find Al Qaida wherever they hide,__label__Support,I thought her husband's sacrifice was noble and worthy
242,We need to do more than that,__label__Support,"we can do this through the African Union, providing we give them the logistical support"
243,if they follow those guidelines that raises the presumption that they didn't do anything wrong,__label__Support,I've recommended that our doctors be given a set of national practice guidelines
244,"Spring, summer, fall",__label__Support,The calendar works the same every year
245,we also believe in maintaining for individuals the right to pursue their dreams and not to have the government substitute itself for the rights of free individuals,__label__Attack,"what we're seeing right now is, in my view, a -- a trickle-down government approach, which has government thinking it can do a better job than free people pursuing their dreams"
246,Going forward with the status quo is not going to cut it for the American people who are struggling today,__label__Attack,"47 million on food stamps today; economic growth this year slower than last year, and last year slower than the year before"
247,He's created 10 and a half million new jobs,__label__Support,That is a record of promises made and promises kept
248,"And that’s why I hope people will check on that for themselves so that they can see that, yes, I’ve spent 30 years, actually maybe a little more, working to help kids and families",__label__Support,"It’s one of the most consequential elections that we’ve had.And that’s why I’ve tried to put forth specific policies and plans, trying to get it off of the personal and put it on to what it is I want to do as president"
249,We're going to have to do some things that are quite costly,__label__Support,"I simply don't believe we can afford nor do we need to keep 150,000 troops in Europe"
250,these are very difficult times and challenges for America,__label__Support,America needs a new direction
251,it's your money,__label__Support,I want to spend 14 percent more and give that 6 percent back to the people
252,then to go on to college and then to be drawn really by President Kennedy,__label__Support,I think what I would bring to the office of the vice presidency is a lifetime  's experience
