,Unnamed: 0,head,relation,tail
75,75,Fourth graders and eighth graders are tested in English and math,__label__Support,"While I was governor, I was proud that our fourth graders came out number one of all 50 states in English, and then also in math"
76,76,this year Congress is doing a little better in controlling the growth of spending.,__label__Attack,it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little. It is that we are continuing to spend too much.
77,77,"I think it's very important that we protect marriage as an institution, between a man and a woman",__label__Support,I proposed a constitutional amendment
78,78,"you must ask yourself, do you know enough about the candidates",__label__Support,You should know as much as possible about each of us
79,79,I said that not only did we not know how much it was going to cost,__label__Support,"Now six years ago, I stood up and opposed this war at a time when it was politically risky to do so"
80,80,the congressman here cut embassy security in his budget by $300 million below what we asked for,__label__Support,not a single thing he said is accurate
81,81,Windows smashed out,__label__Support,You have to see it to believe it
82,82,Strong relations in Europe is in our nation's interest,__label__Support,When it comes to foreign policy that will be my guiding question
83,83,"Even though it's true that, perhaps, between now and the end of the decade, our total consumption of oil may not increase by more than, perhaps, a million or 2 million barrels of oil a day",__label__Support,"The rest of the Western world, we are told, may see its consumption increase from 51 million barrels to about 66 million"
84,84,I have too much trust in him.,__label__Support,"I couldn't do that to Ronald Reagan, now, next year or any other time."
85,85,we have former members of Congress now residing in federal prison,__label__Support,It's completely out of control
86,86,Now we have a chance,__label__Support,I think that I'd leave it right there and say that you judge on the whole record
87,87,we never ever can make concessions to terrorists and hostage takers,__label__Support,"you cannot make concessions to terrorists, ever, ever"
88,88,we believe in our future,__label__Support,we know we have the ability to shape our future
89,89,"an average of about $30,000 that we're going to give to people making $200,000 a year",__label__Support,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country"
90,90,It doubles about every -- every five or so years,__label__Support,we're going to increase our trade
91,91,That's why we have to balance the budget,__label__Support,"I will tell you how I'm going to pay for anything I promise you, line by line"
92,92,I've got a pen,__label__Support,I'm going to veto every single spending bill that comes across my desk
93,93,We will reduce the cost of a barrel of oil,__label__Support,We've got to do it now
94,94,They've given 20 waivers to this sanction,__label__Support,It's in spite of their opposition
95,95,You cannot make concessions to terrorists,__label__Attack,It was ignored in that case and it was a very very serious mistake in judgment
96,96,you are neglecting people who are really struggling right now,__label__Support,I think that is a continuation of the last eight years
97,97,The member of a labor union must have his rights strengthened and broadened,__label__Support,We should never forget that a government big enough to give us everything we want is a government big enough to take from us everything we have
98,98,it's going to create jobs,__label__Support,that's one of the things
99,99,we hadn't finished the job in Afghanistan,__label__Support,"Now six years ago, I stood up and opposed this war at a time when it was politically risky to do so"
100,100,then we should have Congress vote up or down,__label__Support,what we have to do with Medicare is have a commission
101,101,It's going to help Jeremy get a job when he comes out of school,__label__Support,I put out a five-point plan that gets America 12 million new jobs in four years and rising take-home pay
102,102,we have made vast improvements in our anti-terrorism,__label__Support,"since that action, terrorist action against the United States citizens have gone down"
103,103,wants to raise people's taxes in a time of incredible challenge and difficulty and heartache for the American families,__label__Support,Maybe that's why he's asked for 860 -- sought and proposed $860 billion worth of new spending
104,104,I'm so proud that Al Gore said two things,__label__Support,"if we're fortunate enough to be elected, an executive order prohibiting racial profiling"
105,105,"a very exciting tax credit program that I hope I'll have a chance to talk about later, Bernie, that encourages savings by people early in life and any time in life by having the federal government match savings for the 75 million Americans who make $100,000 or less up to $2,000 a year",__label__Support,We're focusing our tax cut on the middle class in the areas they tell us they need it
106,106,"President Eisenhower, on the night before the Normandy invasion, went into his room, and he wrote out two letters",__label__Support,Somehow we've lost that accountability
107,107,today there are three crimes for every police officer,__label__Support,"I think, as we reduce our military forces, we should let people earn military retirement by coming out and working as police officers"
108,108,One of the reasons I think we're an effective team is that I believe firmly in his leadership,__label__Support,"I don't think there's a great difference, Mr. Mashek, between my views and President Reagan's."
109,109,It's important that we do that,__label__Support,that is to treat people with tolerance and respect and dignity
110,110,I support equal rights but not special rights for people,__label__Support,I'm going to be respectful for people
111,111,it's only temporary,__label__Support,"Ours are permanent, ours is a good plan"
112,112,"Senator McCain's campaign chairman's firm was a lobbyist on behalf of Fannie Mae, not me",__label__Attack,Senator Obama was the second highest recipient of Fannie Mae and Freddie Mac money in history
113,113,Mitt Romney proposed these sanctions in 2007,__label__Support,The administration was blocking us every step of the way
114,114,we can't drill our way out of the problem,__label__Support,"I've focused on putting resources into solar, wind, biodiesel, geothermal"
115,115,I think it's the attitude,__label__Attack,I don't think it's the issues that turn kids off
116,116,"It's time for government, industry, labor, manufacturing, agriculture, education, other entities in our society to cooperate",__label__Support,It's a time to draw ourselves together
117,117,He wanted to take them into bankruptcy without providing them any way to stay open,__label__Support,what Governor Romney said just isn't true
118,118,We've got to do it in a responsible way by cutting out spending we don't need,__label__Support,we've got to make sure that we reduce our deficit
119,119,"We are going to have to resort to van pooling, to car pooling",__label__Support,"I think, yes, we will have to change in a very appreciable way, some of the lifestyles that we now enjoy"
120,120,"Coast Guard cutters tied up at the dock this summer, not patrolling",__label__Support,"They're supposed to be our first line of defense against drugs and the war against drugs, because they don't have enough fuel.  "
121,121,Senator McCain talks a lot about earmarks,__label__Support,That's one of the centerpieces of his campaign
122,122,we will get to the bottom of it,__label__Support,I can make absolutely two commitments to you and all the American people tonight
123,123,the rest of the public's going to be paying for it,__label__Support,Her tax plan is a disaster
124,124,"I proposed, 15 months ago, the emergency excise tax on gasoline that I did",__label__Support,we are going to have to create a new conservation ethic in the minds of the American people
125,125,"the notion that we should freeze that when there may be, for example, this Medicare subsidy",__label__Support,doesn't make sense
126,126,"Democrats or Republicans, it will be preserved",__label__Support,"if Social Security is a very important program, it should -- it will be preserved"
127,127,it never got passed,__label__Support,I never promoted Fannie Mae
128,128,the formula I've given you works,__label__Support,my formula says grow at the rate of inflation
129,129,Senator Obama voted for it,__label__Support,this is a classic example of walking the walk and talking the talk
130,130,The technology is there,__label__Support,It's doable
131,131,that was 10 years before you took office,__label__Attack,that was what allowed us to become the number one state in the nation
132,132,"I owe everything to you, the people of this country",__label__Support,I believe that we can work together
133,133,"a lot of people might be interested in Senator Obama's definition of ""rich",__label__Support,the worst thing we could possibly do is to raise taxes on anybody
134,134,"on the big questions, about whether or not we should have gone into Afghanistan, the big question about whether we should have removed somebody in Iraq, I'll stand by those decisions",__label__Attack,"in a war, there's a lot of -- there's a lot of tactical decisions that historians will look back and say: He shouldn't have done that"
135,135,so were governors and mayors and people all over this country who believe deeply in home ownership and affordable housing,__label__Support,that's the kind of leadership that I want to provide as president of the United States
136,136,They're not changing their minds,__label__Support,you've got to get them to change their minds
137,137,They're doing it all over America,__label__Support,It's completely out of control
138,138,"One of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever",__label__Support,"President Eisenhower, on the night before the Normandy invasion, went into his room, and he wrote out two letters"
139,139,We've run up more debt in the last eight years than under all the presidents from George Washington to Jimmy Carter combined,__label__Support,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country"
140,140,We're going to have to develop better community transportation systems,__label__Support,"I think, yes, we will have to change in a very appreciable way, some of the lifestyles that we now enjoy"
141,141,to think that in the 21st Century this kind of nonsense is still going on,__label__Support,the first Civil Rights Act legislation we would send to Congress would be a national ban on racial profiling
142,142,I think so,__label__Support,it's all a question of what our priorities are
143,143,"that means, for example, telling the oil companies the 68 million acres that they currently have leased that they're not drilling, use them or lose them",__label__Support,we do need to expand domestic production
144,144,I want to have the military keeping the peace,__label__Support,I've got an agenda that I want to get done for the country
145,145,We need to eliminate a whole host of programs that don't work,__label__Support,"I want to go through the federal budget line by line, page by page, programs that don't work, we should cut"
146,146,India started from about the same place that China did,__label__Support,I believe that India represents a great area for affirmative action by the free world
147,147,"there is no doubt in my mind that the commitment to unemployment compensation, the minimum wage, welfare, national health insurance, those kinds of commitments that have typified the Democratic party since ancient history in this country's political life are a very important element of the future",__label__Support,"This, to me, is a very important difference between him and me in this election"
148,148,"we were able to refocus our attention on not only the terrorist threat, but also beginning a transition process in Afghanistan",__label__Support,it is stronger now than when I came into office
149,149,not simply think about bailing out banks on Wall Street,__label__Support,"the next president has to make sure that the next Treasury secretary is thinking about how to strengthen you as a home buyer, you as a homeowner"
150,150,"for the nurse, the teacher, the police officer, who, frankly, at the end of each month, they've got a little financial crisis going on",__label__Support,"unless we are holding ourselves accountable day in, day out, not just when there's a crisis for folks who have power and influence and can hire lobbyists"
151,151,I was in the Senate before I became secretary of state,__label__Support,I've never seen people as physically distraught as the Bush administration team was because of what was happening to the economy
152,152,They're the best -- they're most -- have best -- we're the best exporters,__label__Support,Americans' workers are the best in the world
153,153,"with respect to housing, when we are consuming, even though our per capita income today is about the same as that of the Federal Republic of Germany, we are consuming about, by a factor of two, the amount of energy that they consume in that country",__label__Support,there are things that we can do in the retrofitting
154,154,the line-item veto,__label__Support,He has to operate in Massachusetts under a balanced budget proviso
155,155,"The ability to fight, if necessary, is the best way to avoid the chance for, or the requirement to fight.",__label__Support,"We've got to be a nation blessed with a defense capability that's efficient, tough, capable, well organized, narrowly focused - fighting capability"
156,156,we have to do is make sure that college is affordable for every young person in America,__label__Support,we've got to do structurally to make sure that we can compete in this global economy
157,157,I think a hospitable society is a society where every being counts and every person matters,__label__Support,I think it's important to promote a culture of life
158,158,our wealth growth is going down as a result of it,__label__Support,We have to both bring down the deficit and get our economy going through these kinds of investments in order to get the kind of wealth and jobs and incomes we need in America
159,159,she has ignited our party and people all over America that have never been involved in the political process,__label__Support,she's a role model to women and other -- and reformers all over America
160,160,I'm encouraged with what I see when I talk to Mr. -- what I hear when I talk to Mr. Gorbachev and Mr. Shevardnadz,__label__Attack,can they pull it off
161,161,t can never be because we make concessions,__label__Support,"Yes, we should make every effort to try to help those hostages come home"
162,162,I owe my president my judgment and then I owe him loyalty,__label__Support,You can't have the president of the United States out there looking over his shoulder wondering whether his vice president is going to be supporting him.
163,163,make sure that we're investing in the American people,__label__Support,I think he shares my core values and my sense of where the country needs to go
164,164,that can work with the Congress,__label__Support,I'm prepared to do so
165,165,Lower crime rates for eight years in a row,__label__Support,We have seen the strongest economy in the history of the United States
166,166,That's caring for the national security of the country,__label__Support,"When you're looking at a president, Martha, it seems to me that you should take a look at his most important responsibility"
167,167,We've got 33 million students who've benefited from No Child Left Behind,__label__Support,"the story, I think, is a good one"
168,168,And our eighth graders number one in English and also in math,__label__Support,First time one state had been number one in all four measures
169,169,the only place he can go to balance that budget is to raid the Social Security Trust Fund,__label__Support,how he could possibly be serious about bringing that deficit down given what he says he wants to do.
170,170,"we've got good economists on the West Coast, Michael Boskin and Marty Feldstein up there",__label__Support,who's a very respected economist in the - Massachusetts
171,171,so was the banking industry,__label__Support,so were housing advocates
172,172,we spent a lot of time with them,__label__Support,I was honored to speak to those troops
173,173,This is the world's largest sponsor of -- of terrorism,__label__Support,I'll tell you what's worse A nuclear-armed Iran which triggers a nuclear arms race in the Middle East
174,174,That's the best way to get people back in the system,__label__Support,"That's what Washington, D.C. needs"
175,175,"which, to me, shows a very great insensitivity to giving deprived families a better chance in life",__label__Support,"This, to me, is a very important difference between him and me in this election"
176,176,"they're the ones that, with the encouragement of Senator Obama and his cronies and his friends in Washington",__label__Support,"one of the real catalysts, really the match that lit this fire was Fannie Mae and Freddie Mac"
177,177,I'm absolutely delighted that the League is sponsoring these debates and that we are,__label__Support,we are able to now speak to the American public and address the issues in a way such as this
178,178,we've got to strengthen our military long-term,__label__Support,that means a strong military
179,179,as a chief executive that's balanced ten budgets in a row,__label__Support,let me lay out for you my own strategy for bring that deficit down
180,180,The government has a role,__label__Support,It is to fully fund the McKinney Act
181,181,George Bush understands that to deal with the Soviet Union and to get progress you must deal from a position of strength,__label__Support,this is one of the differences between George Bush and Michael Dukakis
182,182,we continue to grow,__label__Support,I have made a specific proposal for what I call a flexible freeze
183,183,he's been president of the United States,__label__Support,"I really don't think there's anything that I could say to President Truman that's going to cause him, at the age of seventy-six, to change his particular speaking manner"
184,184,We have made progress in recent years,__label__Support,"fortunately, great advances have been made by women achieving the kind of equality that they were too long denied"
185,185,The president got it done,__label__Support,"the story, I think, is a good one"
186,186,I fight for equality and justice,__label__Support,All of those things come out of that fundamental teaching and belief of faith
187,187,we did it in a way that we got the private sector to involve itself with the public sector on private industry councils throughout America that serve over the service delivery areas,__label__Support,one of the accomplishments I'm proudest of is the authorship of the Job Training Partnership Act that has trained and educated and employed over three million young people and adults that are economically disadvantaged
188,188,"they're good, average, middle-class, hardworking Americans",__label__Support,I might just say I'm from a large family
189,189,we're talking about very complex and difficult issues,__label__Support,"Medicare, it's going to be a little tougher"
190,190,There's a good program,__label__Support,I need the help of everybody across this country to get it passed in a substantial way by the Congress
191,191,The middle-class has been crushed over the last four years,__label__Support,I'm going to change that
192,192,you've got to have money to pay for these things,__label__Support,you've got to create jobs
193,193,Our nation needs to be credible and strong,__label__Support,"it requires a clear vision, a willingness to stand by our friends, and the credibility for people both friend and foe to understand when America says something"
194,194,we've been unable to persuade him to withdraw,__label__Support,we are in a very difficult position
195,195,three times more than the tax cuts under the Bush administration,__label__Support,he's going to advocate for the largest tax cuts we've ever seen
196,196,"I've listened to both sides, and if they would talk to one another instead of throwing rocks",__label__Support,I think we could get a lot done
197,197,to do this peacefully,__label__Support,you've got to get them to change their minds
198,198,We ought to say this is good,__label__Support,the Soviet Union seems to be walking down that same path
199,199,"everyone of them -- the boys' club leaders, the ministers -- all of them were saying pass enterprise zones",__label__Support,I need the help of everybody across this country to get it passed in a substantial way by the Congress
200,200,"During the time that the vice president and the president have been in office, 4 million more Americans have fallen into poverty",__label__Support,We have to do better
201,201,we've made great progress from the days when I was young and when this country didn't even know it had a racial problem,__label__Support,I believe in it
202,202,I promise you that that will happen,__label__Support,"As president of the United States, people are going to be held accountable in my administration"
203,203,"we can create 5 million new jobs all across America, including in the heartland",__label__Support,It's going to be one of my highest priorities
204,204,they're going faster,__label__Support,They are not changing their mind
205,205,to make sure that there were additional protections for the taxpayer in the form of good oversight,__label__Support,I left my campaign and suspended it to go back to Washington
206,206,I'm running to be a president who happens to be Catholic,__label__Support,"I think that everything you do in public life has to be guided by your faith, affected by your faith, but without transferring it in any official way to other people."
207,207,I did it as a security measure to be sure,__label__Support,we are going to have to create a new conservation ethic in the minds of the American people
208,208,We knew he'd been -- invaded other countries,__label__Support,We knew he tortured his own people
209,209,many of the people who would then be given jobs are presently wards of the Government and it wouldn't hurt to give them a tax incentive,__label__Support,I think there are things to do in this regard
210,210,It's time for a chief executive who can make tough choices,__label__Support,"We've had enough of that, ladies and gentlemen"
211,211,it's such an assault on their humanity and their citizenship,__label__Support,the sad fact is that racial profiling occurs in this country
212,212,I'm a product of public schools,__label__Support,I think the most important thing we can do is have a first-class public school system
213,213,What's in the best interests of our people,__label__Support,"I have, I have"
214,214,We can't put the Middle East peace process on our timetable,__label__Attack,It's got to be on the timetable of the people that we're trying to bring to the peace table
215,215,I would continue those kinds of programs,__label__Attack,"Mr. Monad can't understand that there's a new enthusiasm in this country, that America is back, there's new strong leadership, I don't know"
216,216,I've outlined those in detail,__label__Support,I've also suggested that there are weapons systems that we should proceed on
217,217,"if we've got math teachers who are able to provide the kind of support that they need for our kids, that's what's going to determine whether or not the new businesses are created here",__label__Attack,that's undermining our long-term competitiveness
218,218,"so that they would take a plant, or expand a plant where people are, and people are currently unemployed",__label__Support,We could add to jobs in the major metropolitan areas by a proposal that I recommended that would give tax incentives to business to move into the inner city and to expand or to build new plants
219,219,Strong families need a strong economy,__label__Support,I think what really matters is what we can do to build strong families
220,220,"not only oil and natural gas, which we've been investing in",__label__Support,we've got to make sure we're building the energy source of the future
221,221,those teachers can make a difference,__label__Support,"what I now want to do is to hire more teachers, especially in math and science"
222,222,He says that he voted for the resolution,__label__Support,He says he supports the President's position
223,223,this administration has chosen to ignore it,__label__Support,"the president has failed to put forth a plan to deal with those deficits and if everything believes that everything is corning up roses, perhaps the vice-president should join me as I travel around the country and speak to people."
224,224,It will help you in whatever you're going to do in the next few years,__label__Support,"I keep my word, and you will have a tax cut"
225,225,"I believe that conservation, at course, is worthy in and of itself",__label__Support,"Anything that would preserve, or help us use less energy, that would be fine, and I'm for it"
226,226,You're judged by the entire record.,__label__Support,I think that I'd leave it right there and say that you judge on the whole record
227,227,"they're proving today, every state, that they can manage them adequately",__label__Support,"with respect to DOMA and the marriage laws, the states have always been able to manage those laws"
228,228,I want you to be able to get a job,__label__Support,"also make sure that when they get out of college, there's a job"
229,229,You took General Motors bankrupt,__label__Support,"when you say that I wanted to take the auto industry bankrupt, you actually did"
230,230,"I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully",__label__Support,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country"
231,231,You can't disallow someone the right to visit their partner in a hospital,__label__Support,I'm for partnership rights and so forth
232,232,"We're going to do it by taking full advantage of oil, coal, gas, nuclear and our renewables",__label__Support,we are going to have North American energy independence
233,233,The president said by now we'd be a 5.4 percent unemployment,__label__Support,what we've seen over the last four years is something I don't want to see over the next four years
234,234,That is a big project,__label__Support,I want to make sure that we are investing in energy in order to free ourselves from the dependence on foreign oil
235,235,that's the problem,__label__Support,"when they see this kind of activity, they are encouraged to continue"
236,236,"Strong, well-equipped, well-trained, well-maintained conventional forces",__label__Support,"Nobody is suggesting that we unilaterally disarm or somehow reduce our strength, of course not"
237,237,sets up a system of testing with respect to our school system,__label__Support,It establishes high standards
238,238,"with respect to DOMA and the marriage laws, the states have always been able to manage those laws",__label__Support,I'm for partnership rights and so forth
239,239,I think what I'm going to have to do is I'm going to start correcting the vice-president's statistics,__label__Attack,They delivered
240,240,home values went back up and in fact government made a profit,__label__Support,Even if we get all $700 billion back
241,241,we had joined together with Arab allies and done enormous damage to the Iraqi armed forces,__label__Support,"We made significant breakthroughs, I think, at the end of the Bush administration"
242,242,I will get America working again and see rising take-home pay again,__label__Support,I'll do it with five simple steps
243,243,He's a Democrat,__label__Support,I didn't care whether he was a Republican or Democrat
244,244,Our nation is involved in two wars,__label__Support,we are at a defining moment in our history
245,245,I think is the biggest capital gains benefit we could give to most ordinary Americans,__label__Support,Part of my tax package which is paid for in my balanced budget plan would exempt up to half a million dollars in gains from people when they sell their homes
246,246,"We're talking about failures on Main Street, and people who will lose their jobs, and their credits, and their homes",__label__Support,we're not talking about failure of institutions on Wall Street
247,247,they have to balance their budgets,__label__Support,they have to
248,248,we've got to create jobs,__label__Support,This isn't the beginning of the end of this crisis
249,249,"Right now, because of previous agreements, some made by President Clinton, the goods and products that we send to Colombia, which is our largest agricultural importer of our products, is -- there's a billion dollars that we -- our businesses have paid so far in order to get our goods in there",__label__Support,"Senator Obama, who has never traveled south of our border, opposes the Colombia Free Trade Agreement"
250,250,"We have seen Afghanistan worsen, deteriorate",__label__Support,We need more troops there
251,251,It's been done before,__label__Support,We've got to sit down together across the table
